"","species","sex","number","rsquare","a","b","length.unit","comments"
"1",10,9,16687,0.99,-2.251,3.126,1,""
"2",10,0,16687,0.99,-2.251,3.126,1,""
"3",10,1,16687,0.99,-2.251,3.126,1,""
"4",10,2,16687,0.99,-2.251,3.126,1,""
"5",11,9,95,0.98,-2.092,3.069,1,""
"6",11,0,95,0.98,-2.092,3.069,1,""
"7",11,1,95,0.98,-2.092,3.069,1,""
"8",11,2,95,0.98,-2.092,3.069,1,""
"9",12,0,5628,0.99,-2.287,3.098,1,""
"10",12,1,2729,0.99,-2.348,3.136,1,""
"11",12,2,2702,0.99,-2.385,3.161,1,""
"12",14,9,22,0.96,-2.409,3.163,1,""
"13",14,0,22,0.96,-2.409,3.163,1,""
"14",14,1,22,0.96,-2.409,3.163,1,""
"15",14,2,22,0.96,-2.409,3.163,1,""
"16",16,9,33,1,-2.202,3.165,1,""
"17",16,0,33,1,-2.202,3.165,1,""
"18",16,1,33,1,-2.202,3.165,1,""
"19",16,2,33,1,-2.202,3.165,1,""
"20",23,1,1144,0.98,-1.913,3.049,1,""
"21",23,2,1191,0.99,-1.974,3.098,1,""
"22",23,9,2654,0.99,-2.017,3.124,1,""
"23",23,0,2654,0.99,-2.017,3.124,1,""
"24",30,0,80,0.95,-2.014,3.039,1,""
"25",30,1,40,0.9,-1.861,2.952,1,""
"26",30,2,38,1,-2.172,3.127,1,""
"27",31,0,2075,0.99,-2.422,3.224,1,""
"28",31,1,1030,0.99,-2.403,3.208,1,""
"29",31,2,1003,0.99,-2.461,3.253,1,""
"30",40,0,28389,0.99,-2.357,3.18,1,""
"31",40,1,11210,0.98,-2.376,3.191,1,""
"32",40,2,15155,0.99,-2.455,3.249,1,""
"33",41,0,1527,0.98,-2.797,3.391,1,""
"34",41,1,631,0.97,-2.746,3.356,1,""
"35",41,2,865,0.98,-2.883,3.448,1,""
"36",42,0,5074,0.97,-2.256,3.136,1,""
"37",42,1,2000,0.96,-2.273,3.144,1,""
"38",42,2,2925,0.97,-2.291,3.164,1,""
"39",43,0,5950,0.99,-2.194,3.192,1,""
"40",43,1,2543,0.98,-2.176,3.176,1,""
"41",43,2,3325,0.98,-2.28,3.255,1,""
"42",50,9,88,0.99,-2.211,3.089,1,""
"43",50,0,88,0.99,-2.211,3.089,1,""
"44",50,1,88,0.99,-2.211,3.089,1,""
"45",50,2,88,0.99,-2.211,3.089,1,""
"46",52,9,29,0.94,-1.78,2.815,1,""
"47",52,0,29,0.94,-1.78,2.815,1,""
"48",52,1,29,0.94,-1.78,2.815,1,""
"49",52,2,29,0.94,-1.78,2.815,1,""
"50",60,9,4795,0.98,-2.351,3.161,1,""
"51",60,0,4795,0.98,-2.351,3.161,1,""
"52",60,1,4795,0.98,-2.351,3.161,1,""
"53",60,2,4795,0.98,-2.351,3.161,1,""
"54",61,9,55,0.97,-2.126,3.129,1,""
"55",61,0,55,0.97,-2.126,3.129,1,""
"56",61,1,55,0.97,-2.126,3.129,1,""
"57",61,2,55,0.97,-2.126,3.129,1,""
"58",62,9,494,0.97,-2.036,3.046,1,""
"59",62,0,494,0.97,-2.036,3.046,1,""
"60",62,1,494,0.97,-2.036,3.046,1,""
"61",62,2,494,0.97,-2.036,3.046,1,""
"62",63,9,674,0.94,-2.186,3.008,1,""
"63",63,0,674,0.94,-2.186,3.008,1,""
"64",63,1,674,0.94,-2.186,3.008,1,""
"65",63,2,674,0.94,-2.186,3.008,1,""
"66",64,9,1638,0.84,-2.444,3.124,1,""
"67",64,0,1638,0.84,-2.444,3.124,1,""
"68",64,1,1638,0.84,-2.444,3.124,1,""
"69",64,2,1638,0.84,-2.444,3.124,1,""
"70",70,9,261,0.95,-2.365,3.262,1,""
"71",70,0,261,0.95,-2.365,3.262,1,""
"72",70,1,261,0.95,-2.365,3.262,1,""
"73",70,2,261,0.95,-2.365,3.262,1,""
"74",110,9,51,0.95,-1.935,2.834,1,""
"75",110,0,51,0.95,-1.935,2.834,1,""
"76",110,1,51,0.95,-1.935,2.834,1,""
"77",110,2,51,0.95,-1.935,2.834,1,""
"78",112,9,233,0.97,-2.663,3.309,1,""
"79",112,0,233,0.97,-2.663,3.309,1,""
"80",112,1,233,0.97,-2.663,3.309,1,""
"81",112,2,233,0.97,-2.663,3.309,1,""
"82",114,9,481,0.95,-2.538,3.126,1,""
"83",114,0,481,0.95,-2.538,3.126,1,""
"84",114,1,481,0.95,-2.538,3.126,1,""
"85",114,2,481,0.95,-2.538,3.126,1,""
"86",118,9,520,0.97,-2.438,3.334,1,""
"87",118,0,520,0.97,-2.438,3.334,1,""
"88",118,1,520,0.97,-2.438,3.334,1,""
"89",118,2,520,0.97,-2.438,3.334,1,""
"90",122,9,309,0.98,-2.056,3.151,1,""
"91",122,0,309,0.98,-2.056,3.151,1,""
"92",122,1,309,0.98,-2.056,3.151,1,""
"93",122,2,309,0.98,-2.056,3.151,1,""
"94",143,0,530,0.97,-1.859,2.925,1,""
"95",143,1,212,0.91,-2.013,3.04,1,""
"96",143,2,234,0.96,-1.942,2.997,1,""
"97",160,9,10,0.8,-2.368,3.122,1,""
"98",160,0,10,0.8,-2.368,3.122,1,""
"99",160,1,10,0.8,-2.368,3.122,1,""
"100",160,2,10,0.8,-2.368,3.122,1,""
"101",200,0,6,0.96,-2.171,3.01,1,""
"102",200,1,6,0.96,-2.171,3.01,1,""
"103",200,2,6,0.96,-2.171,3.01,1,""
"104",201,0,2156,0.98,-2.13,3.102,1,""
"105",201,1,1099,0.98,-2.151,3.115,1,""
"106",201,2,1055,0.97,-2.106,3.087,1,""
"107",202,0,521,0.97,-2.476,3.112,1,""
"108",202,1,241,0.98,-2.521,3.139,1,""
"109",202,2,279,0.96,-2.449,3.096,1,""
"110",204,0,380,0.98,-2.413,3.181,1,""
"111",204,1,169,0.98,-2.468,3.209,1,""
"112",204,2,210,0.98,-2.38,3.166,1,""
"113",220,0,635,0.9,-3.264,3.465,1,""
"114",220,1,297,0.77,-2.743,3.176,1,""
"115",220,2,337,0.94,-3.115,3.397,1,""
"116",221,0,181,0.96,-2.556,3.152,1,""
"117",221,1,79,0.98,-2.116,2.877,1,""
"118",221,2,100,0.95,-2.801,3.307,1,""
"119",241,9,312,0.79,-2.398,2.628,1,""
"120",300,9,2477,0.97,-2.219,3.174,1,""
"121",300,0,2477,0.97,-2.219,3.174,1,""
"122",300,1,2477,0.97,-2.219,3.174,1,""
"123",300,2,2477,0.97,-2.219,3.174,1,""
